country,capital,lat,lon
"Aerican Empire","Montreal",45.5033426,-73.5868411
"Afghanistan","Kabul",34.532777777,69.165833333
"Afghanistan","Kabul",34.532777777,69.165833333
"Afghanistan","Kabul",34.532777777,69.165833333
"Albania","Tirana",41.328333333,19.818055555
"Albania","Tirana",41.328333333,19.818055555
"Algeria","Algiers",36.776388888,3.058611111
"Algeria","Algiers",36.776388888,3.058611111
"Algeria","Algiers",36.776388888,3.058611111
"Ancient Carthage","Carthage",36.852558,10.323461
"Andorra","Andorra la Vella",42.507222222,1.522222222
"Andorra","Andorra la Vella",42.507222222,1.522222222
"Angola","Luanda",-8.838333333,13.234444444
"Angola","Luanda",-8.838333333,13.234444444
"Antigua and Barbuda","St. John's",17.121111111,-61.844722222
"Antigua and Barbuda","St. John's",17.121111111,-61.844722222
"Antigua and Barbuda","St. John's",17.121111111,-61.844722222
"Antigua and Barbuda","St. John's",17.121111111,-61.844722222
"Antigua and Barbuda","St. John's",17.121111111,-61.844722222
"Argentina","Buenos Aires",-34.599722222,-58.381944444
"Argentina","Buenos Aires",-34.599722222,-58.381944444
"Armenia","Yerevan",40.181388888,44.514444444
"Armenia","Yerevan",40.181388888,44.514444444
"Aruba","Oranjestad",12.518611111,-70.035833333
"Aruba","Oranjestad",12.518611111,-70.035833333
"Atlantium","Concordia",-34.58333333,138.8
"Australia","Canberra",-35.293055555,149.126944444
"Australia","Canberra",-35.293055555,149.126944444
"Austria","Vienna",48.208333333,16.3725
"Austria","Vienna",48.208333333,16.3725
"Austria","Vienna",48.208333333,16.3725
"Ayyubid Sultanate","Cairo",30.044444444,31.235833333
"Ayyubid Sultanate","Damascus",33.513055555,36.291944444
"Ayyubid Sultanate","Aleppo",36.2,37.16
"Azerbaijan","Baku",40.366655555,49.835183333
"Azerbaijan","Baku",40.366655555,49.835183333
"Bahrain","Manama",26.216666666,50.583333333
"Bahrain","Manama",26.216666666,50.583333333
"Bahrain","Manama",26.216666666,50.583333333
"Bangladesh","Dhaka",23.728888888,90.394444444
"Bangladesh","Dhaka",23.728888888,90.394444444
"Barbados","Bridgetown",13.0975,-59.616666666
"Barbados","Bridgetown",13.0975,-59.616666666
"Barbados","Bridgetown",13.0975,-59.616666666
"Barbados","Bridgetown",13.0975,-59.616666666
"Belarus","Minsk",53.902246,27.561837
"Belarus","Minsk",53.902246,27.561837
"Belarus","Minsk",53.902246,27.561837
"Belgian Empire","City of Brussels",50.846666666,4.351666666
"Belgium","City of Brussels",50.846666666,4.351666666
"Belgium","City of Brussels",50.846666666,4.351666666
"Belize","Belmopan",17.25,-88.7675
"Belize","Belmopan",17.25,-88.7675
"Belize","Belmopan",17.25,-88.7675
"Benin","Porto-Novo",6.483333333,2.616666666
"Benin","Porto-Novo",6.483333333,2.616666666
"Bhutan","Thimphu",27.47135,89.63367
"Bhutan","Thimphu",27.47135,89.63367
"Bhutan","Thimphu",27.47135,89.63367
"Bhutan","Thimphu",27.47135,89.63367
"Bolivia","La Paz",-16.495833333,-68.133333333
"Bolivia","Sucre",-19.0475,-65.26
"Bolivia","La Paz",-16.495833333,-68.133333333
"Bolivia","Sucre",-19.0475,-65.26
"Bolivia","La Paz",-16.495833333,-68.133333333
"Bolivia","Sucre",-19.0475,-65.26
"Bosnia and Herzegovina","Sarajevo",43.856388888,18.413055555
"Bosnia and Herzegovina","Sarajevo",43.856388888,18.413055555
"Bosnia and Herzegovina","Sarajevo",43.856388888,18.413055555
"Botswana","Gaborone",-24.656944444,25.908611111
"Botswana","Gaborone",-24.656944444,25.908611111
"Botswana","Gaborone",-24.656944444,25.908611111
"Brandenburg-Prussia","Berlin",52.516666666,13.383333333
"Brandenburg-Prussia","Königsberg",54.711472222,20.509305555
"Brazil","Brasília",-15.793888888,-47.882777777
"Brazil","Brasília",-15.793888888,-47.882777777
"British Empire","London",51.507222222,-0.1275
"British North Borneo","Kudat",6.883333333,116.833333333
"British North Borneo","Sandakan",5.83878,118.11729
"British North Borneo","Kota Kinabalu",5.975,116.0725
"Brunei","Bandar Seri Begawan",4.916666666,114.916666666
"Brunei","Bandar Seri Begawan",4.916666666,114.916666666
"Bulgaria","Sofia",42.697886,23.321726
"Bulgaria","Sofia",42.697886,23.321726
"Burgundian State","Dijon",47.323055555,5.041944444
"Burkina Faso","Ouagadougou",12.368611111,-1.5275
"Burkina Faso","Ouagadougou",12.368611111,-1.5275
"Burkina Faso","Ouagadougou",12.368611111,-1.5275
"Burundi","Gitega",-3.428333333,29.925
"Burundi","Gitega",-3.428333333,29.925
"Burundi","Gitega",-3.428333333,29.925
"Cambodia","Phnom Penh",11.569583333,104.921027777
"Cambodia","Phnom Penh",11.569583333,104.921027777
"Cameroon","Yaoundé",3.857777777,11.518055555
"Cameroon","Yaoundé",3.857777777,11.518055555
"Canada","Ottawa",45.424722222,-75.695
"Canada","Ottawa",45.424722222,-75.695
"Cape Verde","Praia",14.917719444,-23.509155555
"Cape Verde","Praia",14.917719444,-23.509155555
"Cape Verde","Praia",14.917719444,-23.509155555
"Cape Verde","Praia",14.917719444,-23.509155555
"Central African Republic","Bangui",4.37325,18.562833333
"Central African Republic","Bangui",4.37325,18.562833333
"Central African Republic","Bangui",4.37325,18.562833333
"Chad","N'Djamena",12.11,15.05
"Chad","N'Djamena",12.11,15.05
"Chad","N'Djamena",12.11,15.05
"Chile","Santiago",-33.4375,-70.65
"Chile","Santiago",-33.4375,-70.65
"Chile","Santiago",-33.4375,-70.65
"Colombia","Bogotá",4.60971,-74.08175
"Colombia","Bogotá",4.60971,-74.08175
"Comoros","Moroni",-11.703611111,43.253611111
"Comoros","Moroni",-11.703611111,43.253611111
"Comoros","Moroni",-11.703611111,43.253611111
"Comoros","Moroni",-11.703611111,43.253611111
"Conch Republic","Key West",24.559722222,-81.783611111
"Cook Islands","Avarua",-21.207,-159.771
"Cook Islands","Avarua",-21.207,-159.771
"Costa Rica","San José",9.932738888,-84.079613888
"Costa Rica","San José",9.932738888,-84.079613888
"Croatia","Zagreb",45.813055555,15.977222222
"Croatia","Zagreb",45.813055555,15.977222222
"Croatia","Zagreb",45.813055555,15.977222222
"Cuba","Havana",23.136666666,-82.358888888
"Cuba","Havana",23.136666666,-82.358888888
"Cuba","Havana",23.136666666,-82.358888888
"Curaçao","Willemstad",12.108,-68.935
"Curaçao","Willemstad",12.108,-68.935
"Cyprus","Nicosia",35.1725,33.365
"Cyprus","Nicosia",35.1725,33.365
"Czech Republic","Prague",50.0875,14.421388888
"Czech Republic","Prague",50.0875,14.421388888
"Czech Republic","Prague",50.0875,14.421388888
"Democratic Republic of the Congo","Kinshasa",-4.321944444,15.311944444
"Democratic Republic of the Congo","Kinshasa",-4.321944444,15.311944444
"Denmark","Copenhagen",55.676111111,12.568888888
"Denmark","Copenhagen",55.676111111,12.568888888
"Denmark","Copenhagen",55.676111111,12.568888888
"Denmark","Copenhagen",55.676111111,12.568888888
"Denmark–Norway","Oslo",59.913333333,10.738888888
"Denmark–Norway","Oslo",59.913333333,10.738888888
"Denmark–Norway","Copenhagen",55.676111111,12.568888888
"Denmark–Norway","Copenhagen",55.676111111,12.568888888
"Djibouti","Djibouti City",11.595,43.148055555
"Djibouti","Djibouti City",11.595,43.148055555
"Dominica","Roseau",15.3,-61.383333333
"Dominica","Roseau",15.3,-61.383333333
"Dominica","Roseau",15.3,-61.383333333
"Dominican Republic","Santo Domingo",18.4625,-69.936111111
"Dominican Republic","Santo Domingo",18.4625,-69.936111111
"Dominican Republic","Santo Domingo",18.4625,-69.936111111
"Dominican Republic","Santo Domingo",18.4625,-69.936111111
"Ecuador","Quito",-0.22,-78.5125
"Ecuador","Quito",-0.22,-78.5125
"Egypt","Cairo",30.044444444,31.235833333
"Egypt","Cairo",30.044444444,31.235833333
"Egypt","Cairo",30.044444444,31.235833333
